rank,asset_id,asset_name,asset_type,manufacturer,site_id,building_id,rated_power_kw,total_energy_kwh,avg_daily_kwh,peak_power_kw,load_factor_pct,energy_share_pct
1,SITE-BLR-BLD-01-CHILL-008,Chiller-08,Chiller,Grundfos,SITE-BLR,SITE-BLR-BLD-01,320.0,71549.77,3252.26,574.61,43.3,7.0
2,SITE-SIN-BLD-02-CHILL-008,Chiller-08,Chiller,Atlas Copco,SITE-SIN,SITE-SIN-BLD-02,320.0,70101.33,3186.42,472.48,42.5,6.86
3,SITE-CBE-BLD-01-CHILL-008,Chiller-08,Chiller,Trane,SITE-CBE,SITE-CBE-BLD-01,320.0,70007.74,3182.17,523.48,42.4,6.85
4,SITE-BLR-BLD-01-CHILL-010,Chiller-10,Chiller,Trane,SITE-BLR,SITE-BLR-BLD-01,320.0,69755.02,3170.68,569.88,42.3,6.83
5,SITE-BLR-BLD-01-CHILL-003,Chiller-03,Chiller,Siemens,SITE-BLR,SITE-BLR-BLD-01,320.0,67891.37,3085.97,422.65,41.3,6.65
6,SITE-SIN-BLD-01-BOILE-003,Boiler-03,Boiler,Carrier,SITE-SIN,SITE-SIN-BLD-01,180.0,40061.53,1820.98,307.76,43.3,3.92
7,SITE-SIN-BLD-02-BOILE-004,Boiler-04,Boiler,Grundfos,SITE-SIN,SITE-SIN-BLD-02,180.0,39253.7,1784.26,274.54,42.3,3.84
8,SITE-SIN-BLD-01-BOILE-005,Boiler-05,Boiler,Carrier,SITE-SIN,SITE-SIN-BLD-01,180.0,39068.68,1775.85,295.87,42.2,3.82
9,SITE-CBE-BLD-02-BOILE-001,Boiler-01,Boiler,Schneider,SITE-CBE,SITE-CBE-BLD-02,180.0,38928.21,1769.46,287.3,42.1,3.81
10,SITE-BLR-BLD-03-BOILE-001,Boiler-01,Boiler,Trane,SITE-BLR,SITE-BLR-BLD-03,180.0,38213.4,1736.97,228.47,41.3,3.74
