asset_id,asset_name,asset_type,site_id,building_id,connectivity_status,last_reading_at,lifetime_readings,sensors_seen,hours_since_last_reading,status
SITE-BLR-BLD-01-UPS-014,UPS-14,UPS,SITE-BLR,SITE-BLR-BLD-01,ORPHANED,,,,,NEVER_REPORTED
SITE-BLR-BLD-01-UPS-015,UPS-15,UPS,SITE-BLR,SITE-BLR-BLD-01,ORPHANED,,,,,NEVER_REPORTED
SITE-CBE-BLD-01-UPS-015,UPS-15,UPS,SITE-CBE,SITE-CBE-BLD-01,ORPHANED,,,,,NEVER_REPORTED
SITE-CBE-BLD-01-UPS-016,UPS-16,UPS,SITE-CBE,SITE-CBE-BLD-01,ORPHANED,,,,,NEVER_REPORTED
SITE-SIN-BLD-01-UPS-006,UPS-06,UPS,SITE-SIN,SITE-SIN-BLD-01,ORPHANED,,,,,NEVER_REPORTED
SITE-SIN-BLD-01-UPS-007,UPS-07,UPS,SITE-SIN,SITE-SIN-BLD-01,ORPHANED,,,,,NEVER_REPORTED
SITE-SIN-BLD-02-FLOWS-006,Flow Sensor-06,Flow Sensor,SITE-SIN,SITE-SIN-BLD-02,CONNECTED,2026-08-14 20:35:00,5368,1,63.3,SILENT
SITE-SIN-BLD-01-UPS-004,UPS-04,UPS,SITE-SIN,SITE-SIN-BLD-01,STANDALONE,2026-08-15 13:45:00,5559,1,46.1,SILENT
SITE-CBE-BLD-02-PRESS-009,Pressure Sensor-09,Pressure Sensor,SITE-CBE,SITE-CBE-BLD-02,CONNECTED,2026-08-15 22:55:00,5665,1,36.9,SILENT
SITE-CBE-BLD-03-COMPR-006,Compressor-06,Compressor,SITE-CBE,SITE-CBE-BLD-03,CONNECTED,2026-08-16 07:40:00,5769,1,28.2,SILENT
