site_id,building_id,building_name,building_type,event_hour,event_date,hour_of_day,reporting_assets,observed_asset_hours,productive_asset_hours,utilization_pct,availability_pct,energy_kwh,avg_power_kw,peak_power_kw,data_coverage_pct
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 00:00:00,2026-07-27,0,13,12.917,5.0,38.71,72.26,60.61,4.785,27.338,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 01:00:00,2026-07-27,1,13,13.0,5.0,38.46,72.44,61.135,4.764,27.772,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 02:00:00,2026-07-27,2,13,13.0,4.917,37.82,71.15,61.998,4.831,29.974,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 03:00:00,2026-07-27,3,13,13.083,5.0,38.22,70.7,64.377,4.801,28.885,100.6
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 04:00:00,2026-07-27,4,13,12.917,5.0,38.71,94.19,170.447,13.196,83.82,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 05:00:00,2026-07-27,5,13,13.0,5.0,38.46,99.36,189.39,14.568,81.851,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 06:00:00,2026-07-27,6,13,13.0,5.0,38.46,100.0,211.166,16.454,91.451,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 07:00:00,2026-07-27,7,13,13.0,9.667,74.36,98.72,622.896,48.657,267.806,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 08:00:00,2026-07-27,8,13,13.0,11.333,87.18,98.72,814.809,63.492,274.965,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 09:00:00,2026-07-27,9,13,13.083,11.333,86.62,100.0,925.569,68.607,295.701,100.6
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 10:00:00,2026-07-27,10,13,13.0,12.0,92.31,98.72,994.326,77.36,316.631,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 11:00:00,2026-07-27,11,13,12.917,12.333,95.48,98.06,1059.398,82.55,358.898,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 12:00:00,2026-07-27,12,13,13.0,12.833,98.72,98.72,1151.903,87.597,389.996,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 13:00:00,2026-07-27,13,13,13.083,13.0,99.36,100.0,1199.358,92.958,421.12,100.6
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 14:00:00,2026-07-27,14,13,13.0,12.75,98.08,98.72,1201.748,93.038,390.927,100.0
